0Sun00AM	5219
0Sun01AM	4490
0Sun02AM	3489
0Sun03AM	3305
0Sun04AM	2459
0Sun05AM	1840
0Sun06AM	1702
0Sun07AM	1794
0Sun08AM	2492
0Sun09AM	3452
0Sun10AM	4413
0Sun11AM	5091
0Sun12PM	5816
0Sun13PM	6339
0Sun14PM	9495
0Sun15PM	7632
0Sun16PM	7619
0Sun17PM	7327
0Sun18PM	7388
0Sun19PM	7041
0Sun20PM	6396
0Sun21PM	5451
0Sun22PM	4711
0Sun23PM	3433
1Mon00AM	2692
1Mon01AM	2021
1Mon02AM	1534
1Mon03AM	1427
1Mon04AM	1231
1Mon05AM	1515
1Mon06AM	2163
1Mon07AM	3259
1Mon08AM	3517
1Mon09AM	3911
1Mon10AM	4309
1Mon11AM	5106
1Mon12PM	5256
1Mon13PM	5482
1Mon14PM	5803
1Mon15PM	6685
1Mon16PM	7252
1Mon17PM	7703
1Mon18PM	8074
1Mon19PM	7031
1Mon20PM	6283
1Mon21PM	5645
1Mon22PM	4692
1Mon23PM	4022
2Tue00AM	3027
2Tue01AM	2393
2Tue02AM	1811
2Tue03AM	1509
2Tue04AM	1368
2Tue05AM	1441
2Tue06AM	2156
2Tue07AM	3464
2Tue08AM	3886
2Tue09AM	3782
2Tue10AM	4385
2Tue11AM	4884
2Tue12PM	5180
2Tue13PM	5635
2Tue14PM	5923
2Tue15PM	6738
2Tue16PM	7422
2Tue17PM	8172
2Tue18PM	7714
2Tue19PM	6961
2Tue20PM	6354
2Tue21PM	5459
2Tue22PM	4581
2Tue23PM	3884
3Wed00AM	2478
3Wed01AM	2137
3Wed02AM	1597
3Wed03AM	1457
3Wed04AM	1321
3Wed05AM	1319
3Wed06AM	2232
3Wed07AM	3215
3Wed08AM	3650
3Wed09AM	3617
3Wed10AM	4012
3Wed11AM	4888
3Wed12PM	4933
3Wed13PM	5293
3Wed14PM	5609
3Wed15PM	6787
3Wed16PM	7024
3Wed17PM	7336
3Wed18PM	7363
3Wed19PM	6519
3Wed20PM	6177
3Wed21PM	5515
3Wed22PM	4537
3Wed23PM	3587
4Thu00AM	2785
4Thu01AM	2058
4Thu02AM	1770
4Thu03AM	1616
4Thu04AM	1377
4Thu05AM	1493
4Thu06AM	2179
4Thu07AM	3437
4Thu08AM	3770
4Thu09AM	3679
4Thu10AM	4100
4Thu11AM	4679
4Thu12PM	5074
4Thu13PM	5113
4Thu14PM	5408
4Thu15PM	6659
4Thu16PM	7061
4Thu17PM	7376
4Thu18PM	7633
4Thu19PM	6869
4Thu20PM	6151
4Thu21PM	6223
4Thu22PM	5285
4Thu23PM	3843
5Fri00AM	3031
5Fri01AM	2329
5Fri02AM	1972
5Fri03AM	1624
5Fri04AM	1475
5Fri05AM	1580
5Fri06AM	2225
5Fri07AM	3180
5Fri08AM	3643
5Fri09AM	3878
5Fri10AM	4195
5Fri11AM	5240
5Fri12PM	5501
5Fri13PM	6016
5Fri14PM	6122
5Fri15PM	7380
5Fri16PM	7979
5Fri17PM	8460
5Fri18PM	8305
5Fri19PM	7520
5Fri20PM	7015
5Fri21PM	6372
5Fri22PM	5922
5Fri23PM	5101
6Sat00AM	4337
6Sat01AM	3657
6Sat02AM	3098
6Sat03AM	2673
6Sat04AM	2275
6Sat05AM	1772
6Sat06AM	1657
6Sat07AM	2107
6Sat08AM	2942
6Sat09AM	4004
6Sat10AM	4974
6Sat11AM	5974
6Sat12PM	6396
6Sat13PM	6561
6Sat14PM	6864
6Sat15PM	7013
6Sat16PM	6972
6Sat17PM	7007
6Sat18PM	7578
6Sat19PM	7297
6Sat20PM	6823
6Sat21PM	6597
6Sat22PM	6199
6Sat23PM	5694
