00	12922
01	12967
02	13019
03	12865
04	12670
05	13106
06	13075
07	12902
08	12802
09	12936
10	12846
11	12907
12	12831
13	12945
14	13075
15	12811
16	13114
17	13022
18	12947
19	13009
20	12938
21	12837
22	12934
23	12771
24	12828
25	12877
26	12916
27	13119
28	13207
29	12966
30	12716
31	12779
32	13021
33	12601
34	12782
35	12768
36	12887
37	13024
38	12799
39	12876
40	12758
41	12918
42	13031
43	13205
44	12991
45	12976
46	12879
47	12825
48	13063
49	13108
50	13110
51	13065
52	12863
53	13008
54	12940
55	12919
56	13375
57	13622
58	13688
59	13152
