00AM	23569
01AM	19085
02AM	15271
03AM	13611
04AM	11506
05AM	10960
06AM	14314
07AM	20456
08AM	23900
09AM	26323
10AM	30388
11AM	35862
12PM	38156
13PM	40439
14PM	45224
15PM	48894
16PM	51329
17PM	53381
18PM	54055
19PM	49238
20PM	45199
21PM	41262
22PM	35927
23PM	29564
